Period,Debt to Equity Ratio (Quarterly)
2016-09-30,0.8349
2016-06-30,0.8881
2016-03-31,0.7300
2015-12-31,0.6243
2015-09-30,0.7336
2015-06-30,0.7127
2015-03-31,0.3921
2014-12-31,0.5245
2014-09-30,0.4622
2014-06-30,0.6168
2014-03-31,0.7156
2013-12-31,0.4887
2013-09-30,0.4956
2013-06-30,0.6557
2013-03-31,0.4931
2012-12-31,0.4182
2012-09-30,0.2786
2012-06-30,0.5320
2012-03-31,0.5600
2011-12-31,0.4132
2011-09-30,0.3413
2011-06-30,0.3753
2011-03-31,0.4025
2010-12-31,0.4344
2010-09-30,0.4974
2010-06-30,0.5160
2010-03-31,0.6066
2009-12-31,0.6054
2009-09-30,1.2249
2009-06-30,1.3894
2009-03-31,1.7841
2008-12-31,2.1032
2008-09-30,1.3075
2008-06-30,0.9518
2008-03-31,0.9329
2007-12-31,1.3216
2007-09-30,1.7747
2007-06-30,1.6619
2007-03-31,1.4521
2006-12-31,1.2882
2006-09-30,1.2448
2006-06-30,0.9135
2006-03-31,1.8339
2005-12-31,1.6552
2005-09-30,2.1758
2005-06-30,2.4683
2005-03-31,1.8003
2004-12-31,2.2389
2004-09-30,1.7192
2004-06-30,1.8797
2004-03-31,1.8245
2003-12-31,1.4349
2003-09-30,1.1452
2003-06-30,1.8979
2003-03-31,1.5196
2002-12-31,2.5811
2002-09-30,1.8343
2002-06-30,2.4338
2002-03-31,2.7034
2001-12-31,4.0365
2001-09-30,2.5441
2001-06-30,2.1812
2001-03-31,1.9386
2000-12-31,1.7858
2000-09-30,1.3954
2000-06-30,1.3835
2000-03-31,0.4810
1999-12-31,0.3185
1999-09-30,0.3233
1999-06-30,1.0333
